URI,name,street,zip,city,ticket_vending_machine,luggage_lockers,free_parking,taxi,bicycle_spots,blue-bike,bus,tram,metro,wheelchair_available,ramp,disabled_parking_spots,elevated_platform,escalator_up,escalator_down,elevator_platform,audio_induction_loop,sales_open_monday,sales_close_monday,sales_open_tuesday,sales_close_tuesday,sales_open_wednesday,sales_close_wednesday,sales_open_thursday,sales_close_thursday,sales_open_friday,sales_close_friday,sales_open_saturday,sales_close_saturday,sales_open_sunday,sales_close_sunday
8866605,Athus,Place Des Martyrs,6791,Athus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8869047,Athus-Frontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8866654,Aubange,Avenue De La Gare,6790,Aubange,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8869088,Aubange-Frontiere-Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8729560,Aulnoye-Aymeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8874716,Auvelais,Rue De La Gare,5060,Auvelais,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8731896,Avignon TGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8864352,Aye,Rue Du Vivier,6900,Aye,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8842754,Aywaille,Place Marcellis 3,4920,Aywaille,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8727149,Aéroport Charles-de-Gaulle TGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8822160,Baasrode-Zuid,Mandekensstraat,9280,Baasrode-Zuid,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8728687,Baisieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8895257,Balegem-Dorp,Houtestraat 32,9860,Balegem - Oosterzele,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8895240,Balegem-Zuid,Walzegem,9860,Balegem - Oosterzele,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8832045,Balen,Stationsstraat,2490,Balen,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8895463,Bambrugge,Kwalestraat,9420,Bambrugge - Erpe-Mere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8864451,Barvaux,Rue Des Hazalles,6940,Barvaux,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8843430,Bas-Oha,Rue Bormans 1,4520,Bas-Oha,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8500010,Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
