route_id,agency_id,"route_short_name","route_long_name","route_desc",route_type,"route_url","route_color","route_text_color"
68502,1,"449","Schooldiensten Malle - Vorselaar","Malle - Vorselaar/Vorselaar - Malle",3,"","444411","FFFFFF"
68503,1,"450","Tilburg - Poppel - Turnhout","Tilburg - Poppel - Turnhout/Turnhout - Poppel - Tilburg",3,"","0044BB","FFFFFF"
68504,1,"451","Poppel - Weelde Stenenbrug - Turnhout","Poppel - Turnhout/Turnhout - Poppel",3,"","EE8822","FFFFFF"
68505,1,"455","Arendonk - Zondereigen via Stenenbrug","Zondereigen - Arendonk/Arendonk - Zondereigen",3,"","BBDD00","000000"
68506,1,"456","Arendonk - Poppel via Eel Kerk","Poppel - Arendonk/Arendonk - Poppel",3,"","991199","FFFFFF"
68507,1,"457","Turnhout - Weelde - Baarle Hertog - Hoogstraten","Hoogstraten - Baarle Hertog- Turnhout/Turnhout - Baarle Hertog - Hoogstraten",3,"","771133","FFFFFF"
68508,1,"458","Poppel - Hoogstraten Scholen via Merksplas","Hoogstraten Scholen - Poppel/Poppel - Hoogstraten Scholen",3,"","C5AA77","000000"
68509,1,"459","Turnhout - Hoogstraten Scholen via Weelde","Hoogstraten - Turnhout/Turnhout - Hoogstraten",3,"","DD0077","FFFFFF"
68510,1,"460","Turnhout - Baarle","Baarle - Turnhout/Turnhout - Baarle",3,"","BBDD00","000000"
68511,1,"470","Turnhout - Retie - Dessel - Mol","Turnhout - Mol/Mol - Turnhout",3,"","FFCC11","000000"
68512,1,"490","Turnhout-Geel-Westerlo-Aarschot","Aarschot - Turnhout/Turnhout - Aarschot",3,"","FF88AA","000000"
68513,1,"491","Geel - Westerlo - Blauberg - Aarschot","Aarschot - Geel/Geel - Aarschot",3,"","BB0022","FFFFFF"
68514,1,"492","Turnhout-Geel-Tongerlo-Westerlo-Blauberg-Aarschot","Aarschot - Turnhout/Turnhout - Aarschot",3,"","FFCCAA","000000"
68515,1,"493","Vosselaar - Gierle - Lichtaart - Tielen - Geel","Geel-Tielen-Lichtaart-Gierle-Vosselaar/Vosselaar-Gierle-Lichtaart-Tielen-Geel",3,"","FFCC11","000000"
68517,1,"508","Snelbus Aartselaar - Rumst - Mechelen","Snelbus Mechelen - Rumst - Aartselaar/Snelbus Aartselaar - Rumst - Mechelen",3,"","0044BB","FFFFFF"
68522,1,"514","Hulshout-Booischot-Westmeerbeek-Westerlo Scholen","Hulshout - Booischot - Westmeerbeek - Westerlo Scholen/Westerlo Scholen - Westmeerbeek - Booischot - Hulshout",3,"","005555","FFFFFF"
68524,1,"520","Mechelen - Putte - Schriek - Tremelo","Tremelo - Schriek - Putte - Mechelen/Mechelen - Putte - Schriek - Tremelo",3,"","229922","FFFFFF"
68525,1,"527","Heist op den Berg - Tremelo","Tremelo - Heist op den  Berg/Heist op den Berg - Tremelo",3,"","771133","FFFFFF"
68526,1,"528","Mechelen - Peulis - Waver Scholen","Waver scholen - Peulis- Mechelen/Mechelen - Peulis - Waver scholen",3,"","1199DD","FFFFFF"
68527,1,"529","Waver Scholen  - Tremelo","Tremelo - Waver Scholen/Waver Scholen - Tremelo",3,"","444411","FFFFFF"
68534,1,"540","Westerlo - Oevel - Herentals","Westerlo - Herentals/Herentals - Westerlo",3,"","229922","FFFFFF"
68535,1,"541","Westerlo - Voortkapel - Herentals","Westerlo - Voortkapel - Herentals/Herentals - Voortkapel - Westerlo",3,"","0099AA","000000"
68536,1,"542","Geel Industrie  - Olen - Herentals","Geel Industrie - Olen - Herentals/Herentals - Olen - Geel Industrie",3,"","005555","FFFFFF"
68537,1,"543","Westerlo - Voortkapel - Noorderwijk","Westerlo - Noorderwijk/Noorderwijk - Westerlo",3,"","77CCAA","000000"
68549,1,"600","Meersel-Dreef - Hoogstraten - Antwerpen","Meersel-Dreef - Hoogstraten - Antwerpen/Antwerpen - Hoogstraten - Meersel-Dreef",3,"","229922","FFFFFF"
68550,1,"601","St Job Kristus Koning - Antwerpen","St. Job - Antwerpen/Antwerpen - St. Job",3,"","77CCAA","000000"
68551,1,"602","Meersel-Dreef - Hoogstraten - Antwerpen","Meerle - Hoogstraten - Antwerpen/Antwerpen - Hoogstraten - Meerle",3,"","444411","FFFFFF"
68552,1,"607","Sint-Job - Sint-Antonius - scholen Malle","scholen Malle - Sint-Job/Sint-Job - scholen Malle",3,"","991199","FFFFFF"
68554,1,"610","Antwerpen - Oelegem","Oelegem - Antwerpen/Antwerpen - Oelegem",3,"","8899AA","000000"
68555,1,"618","'s-Gravenwezel - Sint-Antonius - Scholen Malle","scholen Malle - 's-Gravenwezel/'s-Gravenwezel - scholen Malle",3,"","FFCC11","000000"
