service_id,"date",exception_type
65694,"20230217",1
65697,"20230202",1
65697,"20230203",1
65697,"20230206",1
65697,"20230207",1
65697,"20230209",1
65697,"20230210",1
65697,"20230213",1
65697,"20230214",1
65697,"20230216",1
65697,"20230217",1
65704,"20230208",1
65704,"20230215",1
65708,"20230202",1
65708,"20230203",1
65708,"20230206",1
65708,"20230207",1
65708,"20230209",1
65708,"20230210",1
65708,"20230213",1
65708,"20230214",1
65708,"20230216",1
65708,"20230217",1
65702,"20230208",1
65702,"20230215",1
65713,"20230207",1
65713,"20230214",1
65712,"20230203",1
65712,"20230207",1
65712,"20230210",1
65712,"20230214",1
65712,"20230217",1
65707,"20230202",1
65707,"20230206",1
65707,"20230207",1
65707,"20230209",1
65707,"20230213",1
65707,"20230214",1
65707,"20230216",1
65692,"20230202",1
65692,"20230203",1
65692,"20230206",1
65692,"20230209",1
65692,"20230210",1
65692,"20230213",1
65692,"20230216",1
65692,"20230217",1
65776,"20230202",1
65776,"20230209",1
65776,"20230216",1
65753,"20230208",1
65753,"20230215",1
65874,"20230211",1
65874,"20230218",1
65875,"20230204",1
65940,"20230208",1
65940,"20230215",1
65949,"20230203",1
65949,"20230210",1
65949,"20230217",1
65970,"20230202",1
65970,"20230206",1
65970,"20230207",1
65970,"20230209",1
65970,"20230213",1
65970,"20230214",1
65970,"20230216",1
65941,"20230208",1
65941,"20230215",1
65947,"20230203",1
65947,"20230210",1
65947,"20230217",1
65955,"20230204",1
65955,"20230211",1
65955,"20230218",1
65966,"20230202",1
65966,"20230206",1
65966,"20230207",1
65966,"20230209",1
65966,"20230213",1
65966,"20230214",1
65966,"20230216",1
65973,"20230207",1
65973,"20230214",1
65988,"20230221",1
65945,"20230203",1
65945,"20230210",1
65945,"20230217",1
65962,"20230202",1
65962,"20230206",1
65962,"20230209",1
65962,"20230213",1
65962,"20230216",1
65986,"20230220",1
65986,"20230222",1
65971,"20230202",1
65971,"20230209",1
65971,"20230216",1
65942,"20230208",1
65942,"20230215",1
65953,"20230203",1
65953,"20230210",1
65953,"20230217",1
64445,"20230202",1
64445,"20230203",1
64445,"20230206",1
64445,"20230207",1
64445,"20230208",1
64445,"20230209",1
64445,"20230210",1
64445,"20230213",1
64445,"20230214",1
64445,"20230215",1
64445,"20230216",1
64445,"20230217",1
64445,"20230220",1
64445,"20230221",1
64564,"20230204",1
64564,"20230211",1
64564,"20230218",1
64566,"20230205",1
64566,"20230212",1
64567,"20230202",1
64567,"20230203",1
64567,"20230206",1
64567,"20230207",1
64567,"20230208",1
64567,"20230209",1
64567,"20230210",1
64567,"20230213",1
64567,"20230214",1
64567,"20230215",1
64567,"20230216",1
64567,"20230217",1
64623,"20230202",1
64623,"20230206",1
64623,"20230207",1
64623,"20230209",1
64623,"20230213",1
64623,"20230214",1
64623,"20230216",1
64624,"20230202",1
64624,"20230206",1
64624,"20230207",1
64624,"20230209",1
64624,"20230213",1
64624,"20230214",1
64624,"20230216",1
64625,"20230202",1
64625,"20230206",1
64625,"20230207",1
64625,"20230209",1
64625,"20230213",1
64625,"20230214",1
64625,"20230216",1
64626,"20230202",1
64626,"20230206",1
64626,"20230207",1
64626,"20230209",1
64626,"20230213",1
64626,"20230214",1
64626,"20230216",1
64627,"20230208",1
64627,"20230215",1
64628,"20230208",1
64628,"20230215",1
64629,"20230208",1
64629,"20230215",1
64630,"20230203",1
64630,"20230210",1
64630,"20230217",1
64631,"20230203",1
64631,"20230210",1
64631,"20230217",1
64632,"20230203",1
64632,"20230210",1
64632,"20230217",1
64633,"20230204",1
64633,"20230211",1
64633,"20230218",1
64634,"20230205",1
64634,"20230212",1
64634,"20230219",1
64637,"20230220",1
64637,"20230221",1
64637,"20230222",1
64638,"20230220",1
64638,"20230221",1
64638,"20230222",1
64897,"20230202",1
64897,"20230203",1
64897,"20230213",1
64897,"20230214",1
64897,"20230216",1
64897,"20230217",1
64898,"20230206",1
64898,"20230207",1
64898,"20230209",1
64899,"20230210",1
